,distance,consume,speed,temp_inside,temp_outside,gas_type,AC,rain,sun,Fuel_Price,Journey_Price
282,16.0,3.8,40,22.0,8,SP98,0,0,0,1.46,0.89
283,32.1,4.5,50,22.0,16,SP98,0,0,0,1.46,2.11
284,25.9,4.4,40,22.0,14,SP98,0,0,0,1.46,1.66
285,48.6,4.3,44,22.0,12,SP98,0,0,0,1.46,3.05
286,37.2,4.0,45,22.0,20,SP98,0,0,1,1.46,2.17
287,28.8,3.9,35,22.0,15,SP98,0,0,1,1.46,1.64
288,6.7,5.0,30,22.0,17,SP98,0,0,0,1.46,0.49
289,7.4,4.1,25,22.0,18,SP98,0,0,1,1.46,0.44
290,17.3,4.1,22,22.0,25,SP98,0,0,1,1.46,1.04
291,6.6,5.6,43,22.0,16,SP98,0,0,0,1.46,0.54
292,14.3,4.1,26,22.0,20,SP98,0,0,0,1.46,0.86
293,13.3,4.6,33,22.0,18,SP98,0,0,0,1.46,0.89
294,8.3,4.9,26,22.0,23,SP98,0,0,0,1.46,0.59
295,12.7,4.5,39,22.0,27,SP98,0,0,1,1.46,0.83
296,16.5,4.1,47,22.0,14,SP98,0,0,0,1.46,0.99
297,20.6,4.1,38,22.0,21,SP98,0,0,0,1.46,1.23
298,16.3,4.5,58,22.0,16,SP98,0,0,0,1.46,1.07
299,18.7,4.2,65,25.0,18,SP98,1,0,1,1.46,1.15
300,36.5,3.9,54,23.0,18,SP98,0,0,1,1.46,2.08
301,19.0,5.0,35,22.0,15,SP98,1,0,1,1.46,1.39
302,16.6,4.4,46,22.0,5,SP98,1,0,0,1.46,1.07
303,29.9,4.5,32,22.0,18,SP98,1,0,0,1.46,1.96
304,16.0,3.8,42,22.0,11,SP98,0,0,0,1.46,0.89
305,21.1,5.1,33,22.0,10,SP98,0,1,0,1.46,1.57
306,16.0,3.9,40,22.0,10,SP98,0,0,0,1.46,0.91
307,11.9,5.3,34,22.0,13,SP98,0,0,0,1.46,0.92
308,10.1,4.2,35,22.0,16,SP98,0,0,0,1.46,0.62
309,31.9,4.3,33,22.0,16,SP98,0,0,0,1.46,2.0
310,18.7,4.0,60,22.0,13,SP98,0,0,0,1.46,1.09
311,10.8,4.7,48,22.0,17,SP98,0,0,1,1.46,0.74
312,19.8,4.0,56,22.0,17,SP98,0,0,1,1.46,1.16
313,11.3,4.3,38,22.0,17,SP98,0,0,0,1.46,0.71
314,11.5,5.3,53,22.0,15,SP98,0,0,0,1.46,0.89
315,21.4,5.2,51,22.0,13,SP98,0,0,0,1.46,1.62
316,32.0,4.9,53,22.0,15,SP98,0,0,0,1.46,2.29
317,41.9,4.7,53,22.0,14,SP98,0,0,0,1.46,2.88
318,211.0,4.6,80,22.0,20,SP98,0,0,0,1.46,14.17
319,216.1,5.3,90,22.0,21,SP98,0,0,1,1.46,16.72
320,25.5,3.6,27,22.0,27,SP98,0,0,1,1.46,1.34
321,16.6,4.2,52,22.0,15,SP98,0,1,0,1.46,1.02
322,25.9,4.1,43,22.0,24,SP98,0,0,0,1.46,1.55
323,16.5,4.0,48,22.0,15,SP98,0,0,0,1.46,0.96
324,22.1,3.9,29,22.0,26,SP98,0,0,0,1.46,1.26
325,16.6,3.7,49,22.0,17,E10,0,0,0,1.38,0.85
326,15.4,4.5,43,22.0,24,E10,0,0,0,1.38,0.96
327,16.5,3.9,43,22.0,17,E10,0,0,0,1.38,0.89
328,15.4,5.1,21,22.0,24,E10,0,0,0,1.38,1.08
329,18.4,4.2,59,22.0,24,E10,0,0,0,1.38,1.07
330,39.5,4.2,58,22.0,25,E10,0,0,0,1.38,2.29
331,21.5,4.8,47,25.0,27,E10,1,0,1,1.38,1.42
332,4.8,4.7,26,25.0,18,E10,0,0,0,1.38,0.31
333,100.9,4.7,87,23.5,22,E10,0,0,0,1.38,6.54
334,129.7,4.6,58,24.0,21,E10,0,0,0,1.38,8.23
335,16.6,3.8,43,21.5,16,E10,0,0,0,1.38,0.87
336,15.4,4.2,50,21.5,21,E10,0,0,0,1.38,0.89
337,16.0,3.7,45,22.0,17,E10,0,0,0,1.38,0.82
338,16.0,4.2,41,22.0,15,E10,0,0,0,1.38,0.93
339,15.4,4.1,45,22.0,24,E10,0,0,0,1.38,0.87
340,16.0,4.0,43,22.0,16,E10,0,0,0,1.38,0.88
341,21.0,3.8,37,22.0,21,E10,0,0,0,1.38,1.1
342,15.4,3.8,47,22.0,24,E10,0,0,0,1.38,0.81
343,16.0,3.8,42,22.0,17,E10,0,0,0,1.38,0.84
344,16.1,5.1,30,25.0,16,E10,1,1,0,1.38,1.13
345,16.0,4.0,42,22.0,15,E10,0,0,0,1.38,0.88
346,15.4,4.8,40,22.0,18,E10,0,0,0,1.38,1.02
347,17.2,3.9,35,22.0,16,E10,0,0,0,1.38,0.93
348,16.6,4.6,50,22.0,25,E10,0,0,0,1.38,1.05
349,18.3,4.3,46,22.0,16,SP98,0,0,0,1.46,1.15
350,16.1,4.8,36,22.0,18,SP98,0,1,0,1.46,1.13
351,16.0,4.1,46,22.0,17,SP98,0,0,0,1.46,0.96
352,16.3,4.0,35,22.0,23,SP98,0,0,0,1.46,0.95
353,16.0,3.7,44,22.0,16,SP98,0,0,0,1.46,0.86
354,18.3,4.3,46,22.0,23,SP98,0,0,0,1.46,1.15
355,4.5,5.2,23,22.0,23,SP98,0,0,1,1.46,0.34
356,17.0,4.2,48,22.0,16,SP98,0,0,0,1.46,1.04
357,6.1,5.0,35,24.5,18,SP98,0,0,0,1.46,0.45
358,6.1,5.0,33,22.0,24,SP98,0,0,1,1.46,0.45
359,17.3,4.2,36,22.0,22,SP98,0,0,0,1.46,1.06
360,6.0,4.8,27,22.0,17,SP98,0,0,0,1.46,0.42
361,16.0,4.1,45,22.0,15,SP98,0,0,0,1.46,0.96
362,15.4,4.9,55,22.0,18,SP98,0,0,0,1.46,1.1
363,15.4,4.3,39,22.0,23,SP98,0,0,0,1.46,0.97
364,16.0,3.9,35,22.0,18,SP98,0,0,0,1.46,0.91
365,15.4,4.5,52,22.0,26,SP98,0,0,0,1.46,1.01
366,16.6,4.1,48,25.5,30,SP98,1,0,1,1.46,0.99
367,15.4,5.0,48,25.5,31,SP98,1,0,0,1.46,1.12
368,16.0,4.0,43,22.0,21,SP98,1,0,0,1.46,0.93
369,15.4,4.5,42,22.0,30,SP98,0,0,0,1.46,1.01
370,16.0,3.6,43,22.0,19,SP98,0,0,0,1.46,0.84
371,20.9,4.1,33,22.0,21,SP98,0,0,0,1.46,1.25
372,32.1,3.9,47,22.0,26,SP98,0,0,0,1.46,1.83
373,15.3,6.6,16,24.0,27,SP98,1,0,0,1.46,1.47
374,28.5,4.0,44,25.0,23,SP98,1,0,0,1.46,1.66
375,11.9,3.7,33,25.0,19,SP98,0,0,0,1.46,0.64
376,14.5,4.3,36,25.0,22,SP98,0,0,0,1.46,0.91
377,16.6,4.1,49,22.0,26,SP98,0,0,1,1.46,0.99
378,16.2,4.4,39,24.5,17,SP98,1,0,0,1.46,1.04
379,16.7,3.8,44,24.5,23,SP98,0,0,1,1.46,0.93
380,8.3,5.0,52,24.5,27,SP98,0,0,0,1.46,0.61
381,5.5,3.7,33,24.5,28,SP98,0,0,1,1.46,0.3
382,13.6,3.7,33,24.5,28,SP98,0,0,1,1.46,0.73
383,16.0,3.7,39,24.5,18,SP98,0,0,0,1.46,0.86
384,16.1,4.3,38,25.0,31,SP98,1,0,0,1.46,1.01
385,16.0,3.8,45,25.0,19,SP98,0,0,0,1.46,0.89
386,15.4,4.6,42,25.0,31,SP98,1,0,0,1.46,1.03
387,14.7,5.0,25,25.0,30,SP98,1,0,0,1.46,1.07
